name,cuisine,description,localAddress,phone,rating
"Absolute Barbecues - Marathahalli, Bengaluru",Indian Barbecue Asian      ,"AB's is India's First WISH GRILL Restaurant.A place designed to take the adventure, excitement and joy of BARBECUING to all new heights.A place dedicated to you and your favourite people in the world – your GANGS.Where your job is to WISH. And ours is to make your wishes come TRUE – in unprecedented,flavour-packed, deliciously delightful ways!Why?… because what you like is more important than printed menus.… because you have a million moods and there should always be food to match.… because grillin' is not a way of cooking food, it's a way of life.… because taste counts; and you matter.","3rd Floor, 90/4, Marathahalli Outer Ring Road, Near Park Plaza, 560037",+91 73373 36712,4.5
Cuppa Redefined - HSR,American Cafe       ,"""We at cuppa.redefined are always there to look after your appetite. Select from our wide range of food menus & satiate your tastebuds! So, visit cuppa.redefined with your loved ones and enjoy the best food in the best environment. P.S. All our staff are vaccinated to ensure maximum safety against covid-19. We are in this together!""","1237, Sri Sai Crystal 17th Cross, 5th Main Rd, Hsr Layout, 560102",+91 91081 64894,5.0
Bharjari Oota,Indian        ,,"18, Gandhi Bazar Main Road, Basavanagudi, 560004",+91 98801 41967,4.0
The Big Barbeque,Italian Chinese Indian Mediterranean Barbecue Asian   ,"Build on the concept of live grill, The best Big Barbeque has opened in the Electronic City.To provide authentic taste of barbecue to our customers we have made our grills with precise detailing serving both veg and non veg barbecue along with wide variety of cuisines. One of our prime USP is that we offer the most variety in our buffet spread.","No 163, 2nd Floor, Above Adyar Ananda Bhavan Niladri Nagar, 560100",+91 98214 58233,4.5
Savoury Restaurant,Indian Asian Middle Eastern Arabic     ,"Born at the turn of the millennium as the pioneers of Indo-Arab cuisine in South India. Today, Savoury is the destination of Arabian culinary delights across multiple nations.","27 Mosque Road, Next to Sangeetha Mobiles, 560005",+91 94494 42222,4.0
"Rajdhani Thali Restaurant, Bannerghatta Road, Bangalore",Indian        ,,"3rd Floor, Royal Meenakshi Mall, Bannerghatta Road, Bangalore",+91 80670 80088,4.0
The Black Rabbit,Bar European Pub      ,,"770, 12th Main Road, 100 Feet Road, 560038",+91 80 4241 5575,4.0
Blr Brewing Co. - Electronic City,Italian Indian Brew Pub Bar Barbecue Asian Pub  ,"One of the biggest brewery in electronic city & Bangalore, BLR Brewing Co. Our Ambience is combined of 5 elements Earth, Water, Air, Fire & Space. Beer makes you happy? We've got 14 taps and pouring finest craft beers, crafting best cocktails from awarded mixologists and serving food delicacies from across the globe cuisines in our restaurant / pub","Neeladri Road, 4th Floor, Opposite To Wipro Gate 84, 560100",+91 63669 60335,4.5
Chinita Real Mexican Food,Mexican        ,REAL MEXICAN FOOD Fresh ingredients & authentic flavours made with love in India. Serving authentic Mexican food by Chef Candice Lock since 2012. Our restaurants Indiranagar Koramangala Whitefield.,"218 Double Road, Near BDA Complex, 560038",+91 96865 51896,4.5
Bheema's,Indian        ,,"31 Asha Building Ground Floor Opposite State Bank Of India, 560001",+91 80 4112 2535,4.0
Iron Hill Bengaluru,Brew Pub Pub Dining bars      ,,Tulsi Theatre Road,,4.5
Cafe Noir,French Cafe European      ,,"24 Vittal Mallya Road, Lavelle Road, 560001",+91 80 4098 2050,4.0
Melange,Indian Asian       ,"A 24-hour international eatery, Mélange offers 160 covers and your choice of indoor and alfresco dining along with a posh private dining room and an interactive kitchen, which are ideal to host corporate and social gatherings. Mélange offers a wide à la carte menu, including contemporary Western cuisine, popular Indian dishes, and a variety of sandwiches, pastas and refreshing salads. For lunch and dinner, the buffet offers a clever selection of international dishes with innovative salads and desserts.","90 - 4 Outer Ring Road, Radisson Blu Outer Ring Road, 560037",+91 80670 76909,4.5
The Merak Brewhouse,        ,"Surrounded by tropical forest scenery, reconnect with nature at our premier brewery, The Merak Brewhouse. The brewhouse is known for its freshly brewed signature craft beers with a seasonal special every few months, exotic cocktails accompanied by a range of delicacies and vibrant nightlife scene once the sun sets over Bangalore.","24/1 Vittal Mallya Road, JW Marriott Hotel Bengaluru, 560001",+91 88846 75454,5.0
Social Whitefield,Bar Asian Pub      ,,"Phoenix Market City, Whitefield, 560048",+91 80 4962 6661,3.5
Food Street / Thindi Bheedi,Indian Fast Food Healthy      ,Thindi Beedhi - Bangalore's famous one and only food street which serves hot and fresh food cooked in front of your eyes.,"Sajjan Rao Circle, 560004",+91 74111 22233,4.0
Ebony Restaurant,Indian Asian       ,"It does not get more romantic than this. An al fresco restaurant perched 200 feet high among the clouds, lit by a canopy of stars and with the beautiful garden city of Bangalore spread at its feet....Ebony had been wow-ing clientele for more than two decades with its eclectic mix of cuisines, un-obtrusive service and unsurpassable setting. Sitting on the 13th floor of Barton Centre on M G Road, the restaurant serves an unusual mix of Pan - Indian and Parsee classics, with a few European and South Asian favourites thrown in for good measure. Ebony celebrates food that is unpretentious in nature, timeless in its appeal and needless to say prepared to ellipse all other senses. With an extensive cocktail menu and a vast number of seating options the restaurant is an ideal choice of an intimate diner, a family gathering or even a corporate celebration. Ample reserved parking for more than 70 cars for dinner means you never have that sticky decision to make. Dinners at Ebony are a la carte, but with a host of custom designed set-course menus to choose from, planning a memorable evening out within a budget was never so easy. Lunches at Ebony between Monday and Friday are the VFM (Value for Money) Executive Lunch buffets. The best of our Indian, Asian and European selections in a buffet spread featuring close to 18 dishes in 4 courses. And all this for an unbeatable price of Rs.395.00 plus taxes and levies. Saturday's are our World on Plate Buffet featuring a truly expansive 5 course buffet with many signature dishes from our Indian, Tandoor, Parsee, European and Asian repertoire. This truly One Size Fits all buffet has something in it for all tastes and all appetites. And at Rs.495.00 plus taxes and levies, there is no better way to kick start your weekend.","84 Hotel Ivory Tower The Penthouse Floor Mg Road, 560001",+91 80 4178 3344,4.0
Vanamo,Cafe International Mediterranean European Healthy    ,"Ready for an expedition of international tastes? 

Rare. Fresh. Pure. We present to you a passport to a world of taste sensations. Freshly Made Global Cuisine  Meets Artisanal Coffee.

In the heart of Indiranagar, Vanamo is a culinary sanctuary where artisanal coffee meets freshly made global cuisine. 

Vanamo is an expedition of artisanal flavours carefully curated from across the world. Be it from the back streets of Korea to the upper echelons of France, or maybe even be laced with the rich heritage of Turkish food culture. You name a country, and we may just be able to teleport you in an instant! However, great food is incomplete without great beverages, and we went out to bring the planet’s richest flavoured coffees to your tables. Close your eyes and indulge in sinful crafted single-origin coffee from Ethiopia and Columbia, and our speciality grounded coffees blend in the world's most artistic coffee machine.

","#368, Hal 2nd Stage, 100 Feet Road, Indira Nagar, 560008",090082 66669,5.0
The Lantern,Chinese Asian Cantonese Szechuan Shanghai Hong Kong   ,"The Lantern is recognized amongst Asia Pacific's Top 75 Restaurants for the previous three years running. This award-winning fine dining restaurant celebrates the rich culinary heritage of Cantonese cuisine. A meticulously curated menu by our International Master Chefs feature specialty dim sums, authentic Chinese delicacies complemented with Asian inspired cocktails. The alfresco seating surrounded by lush foliage and water bodies presents a serene getaway in the bustling city. Resembling a Chinese lantern, the restaurant's unique dining and lifestyle experiences explore diverse aspects of the world-famous Chinese cuisine. Two levels of indoor seating are characterized by rich hardwoods and stately granites. Exotic textiles and porcelain vessels line the walls and recessed lighting bathes each table in a warm luminescence. Enjoy benefits the moment you join Marriott Bonvoy Rewards Program. Earn and redeem Marriott Bonvoy points every time you dine with us.","Residency Road, The Ritz-Carlton, 560025",+91 80 4914 8000,4.5
Arbor Brewing Company - Brewpub & Eatery,American Bar Pub Gastropub     ,"For over 30 years, small, independent craft brewpubs have been springing up across the U.S.A. to quench the thirst for distinctive, fresh, local beer. American craft beer - like the people who drink it - is all about taste, character, creativity, and individuality. Arbor Brewing Company is bringing that American brewing spirit to Bangalore because life is too short to drink bland beer!","3rd Floor, Allied Grande Plaza, 8 Magrath Road, Ashok Nagar, 560038",80-67921222-0,4.0
Bistro Claytopia,American Cafe       ,"Bangalore's first paint-your-own pottery studio and bistro Description Create your own masterpiece in four simple steps: You... Pick a piece (premoulded and heated white clay) - Choose your colours - Sketch your design - Paint it! We... Leave the rest to us. We glaze it and fire it for you. Your ceramic masterpiece is ready to be collected in 2 weeks Add a personal touch to your home decor, that gift for your loved one, or simply come and enjoy the perfect cup of coffee in our cozy cafe. Relax and paint while indulging in our delicious burgers, pastas, sandwiches, subs, salads, soups, all day breakfast, waffles, pancakes, desserts, coffees and more... We are also a popular venue for: Birthday parties Corporate events Charity Events Team building exercises Family parties Kitty parties School art sessions","11, 80 Feet Road, 3rd Block, Next To State Bank Of India, Koramangala, 560034",+91 95387 06203,4.0
Wabi Sabi,Chinese Japanese Sushi Asian Shanghai    ,Our new Asian restaurant Wabi Sabi is inspired by its namesake Oriental philosophy that appreciates the complexity of simplicity. A breathtaking 24 carat gold leaf wall provides a stunning backdrop to the live sushi & sashimi counter & the soft murmur of the waterfall outside creates a zen-like soundscape. It offers a selection of Chinese & Japanese favourites expertly curated by expatriate chefs,"The Oberoi 37 - 39 Mahatma Gandhi Road, Trinity Circle, 560001",+91 80 2558 5858,5.0
7rivers Brewing Co,Italian Chinese Indian Brew Pub Bar Contemporary   ,,"7 Rivers Brewing Co., Taj Mg Road, 41/3, Mahatma Gandhi Road, Bengaluru, Karnataka, 560001",+91 80666 04333,5.0
"Oia, Hennur Main Road, Airport road",Italian Indian Pub Gastropub     ,,"Hennur Main Road, Opp Mantri Webcity, Visthar, 560077",+91 96060 31145,3.5
Mamagoto,Chinese Asian Thai Szechuan Singaporean Shanghai Hong Kong  ,,"109 12th Main Road, 560038",+91 80 4093 7237,4.0
Kapoor's Cafe,Indian Asian       ,,"Marathalalli Rd, Near Thubarahalli Bus Stop, Inside Gurukul Compound, Thubarahalli, Whitefield, 560066",+91 97392 67702,4.0
Rajdhani Thali,Indian        ,"Rajdhani, The Vegetarian Thali Restaurant which is the flagship brand of Mirah Hospitality has spread its aroma in this industry over the past few decades. Known as a ""thali place"" with 72 different rotating menus with 22,464 delicacies from Gujarat and Rajasthan. Rajdhani offers even to the most regular customers out of 9 million delighted guests the aroma of novelty.","Brigade Gateway 26/1 Dr. Rajkumar Road, Orion Mall, Level 2, 560055",+91 80 2268 2092,4.0
Eden Park Bar And Restaurant,Indian        ,,"21/1 Cunningham Road, Ground Floor Behind The Hindu Office Shivaji Nagar, 560052",+91 80 2286 1100,4.0
Shao,Chinese Asian Thai Cantonese Szechuan Shanghai Hong Kong  ,"Tantalize your palate at our award-winning signature restaurant, where our chefs will mesmerize you with their skills. Shao brings to you the best of Chinese, Thai, Japanese and Korean dishes under one roof for an unforgettable culinary experience.","Outer Ring Road, Radisson Blu Outer Ring Road, 560037",+91 80670 76909,4.5
